,mmd,one_sample_ks,two_sample_kl,rate
INFO-VAE l_Rate 0.1 l_MMD 1 dec: Strong roBERTa,0.0009581963531672955,0.0188852328088992,0.018875000000000003,51.250125885009766
INFO-VAE l_Rate 0.1 l_MMD 10 dec: Strong roBERTa,0.0009196321479976177,0.01887885429584557,0.018312499999999954,51.56517791748047
INFO-VAE l_Rate 0.1 l_MMD 100 dec: Strong roBERTa,0.0007271624635905027,0.009407181030039513,0.010421874999999997,48.640193939208984
INFO-VAE l_Rate 0.5 l_MMD 1 dec: Strong roBERTa,0.00011455919593572617,0.006152293558843058,0.006671874999999994,4.422531604766846
INFO-VAE l_Rate 0.5 l_MMD 10 dec: Strong roBERTa,0.0001445789821445942,0.007167397815084159,0.009625000000000022,4.539146423339844
INFO-VAE l_Rate 0.5 l_MMD 100 dec: Strong roBERTa,0.00016144849359989166,0.009427451149032318,0.010890624999999987,3.6486504077911377
INFO-VAE l_Rate 1 l_MMD 1 dec: Strong roBERTa,2.0709354430437088e-05,0.004416816034372911,0.005984375000000014,0.0040746210142970085
INFO-VAE l_Rate 1 l_MMD 10 dec: Strong roBERTa,-1.4096498489379883e-05,0.0030695892368635125,0.005375000000000019,0.0048505826853215694
INFO-VAE l_Rate 1 l_MMD 100 dec: Strong roBERTa,9.72021371126175e-06,0.0032533197891988497,0.005046875000000006,0.00419719610363245
INFO-VAE l_Rate 2 l_MMD 1 dec: Strong roBERTa,-2.7138739824295044e-06,0.002999192165776765,0.0042343750000000124,0.0013927867403253913
INFO-VAE l_Rate 2 l_MMD 10 dec: Strong roBERTa,9.660143405199051e-06,0.002899404920322368,0.004531249999999987,0.0015393071807920933
INFO-VAE l_Rate 2 l_MMD 100 dec: Strong roBERTa,-4.502944648265839e-06,0.005427271332667183,0.00687500000000002,0.0017557815881446004
BETA-VAE beta 0 dec: Strong roBERTa,0.00427601533010602,0.06462973254388504,0.064953125,200.912353515625
BETA-VAE beta 0.25 dec: Strong roBERTa,0.00048765819519758224,0.015669266995734343,0.01593750000000005,26.406347274780273
BETA-VAE beta 0.5 dec: Strong roBERTa,0.00016409065574407578,0.006346897737634638,0.0072968749999999805,4.6553263664245605
BETA-VAE beta 0.75 dec: Strong roBERTa,1.7974060028791428e-05,0.006090936382926515,0.007796875000000009,0.020900869742035866
BETA-VAE beta 1 dec: Strong roBERTa,-4.814937710762024e-07,0.0035161603171695033,0.004046875000000005,0.0061423517763614655
BETA-VAE beta 2 dec: Strong roBERTa,-1.6014091670513153e-06,0.004151129617870453,0.006015625000000024,0.0009611829882487655
FB-VAE 4 dec: Strong roBERTa,0.00010144524276256561,0.009006190831440497,0.010609375000000032,3.7998340129852295
FB-VAE 8 dec: Strong roBERTa,0.0001910231076180935,0.0030942544760749757,0.005046875000000006,8.02342700958252
FB-VAE 16 dec: Strong roBERTa,0.0002431231550872326,0.009244232259433383,0.010687500000000016,15.645038604736328
FB-VAE 32 dec: Strong roBERTa,0.0004095155745744705,0.005110668782759953,0.0052968750000000064,30.349180221557617
FB-VAE 64 dec: Strong roBERTa,0.000924448948353529,0.01747764773061211,0.017281250000000026,60.184898376464844
