,std across x scale,kl prior post,iw ll,distortion,elbo,mean scale,mean mean,log det cov q z,std across z scale,std across x mean,std across z mean,total loss,mmd,p_z_type,latent_dim,q_z_x_type,mog_n_components,decoder_MADE_gating,decoder_network_type,run_id,run_name
q(z|x) MADE p(x|z) deconv. p(z) standard,0.02941753956949032,19.794215093685104,-80.54318275985717,63.68439416040348,-83.47860881950282,0.2756995011734057,0.0244556348535079,-2.268366126917106,0.36576159769975686,0.828076409388192,0.9263648934002164,83.47860881950282,0.04718920098075384,standard,10,MADE,5,True,deconv.,1nfj322m,(27 sept) q(z|x) conditional_gaussian_made | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-09-27-16:20:34
q(z|x) MADE p(x|z) MADE p(z) standard,0.034920384624053405,24.16894120807889,-82.80740376663208,60.78743367255488,-84.95637473577186,0.17726005802426156,-0.0007860694475519129,-1.3453468906022792,0.2871491611003876,0.9750552064255824,1.0306620816641217,84.95637473577186,0.05295936216281939,standard,10,MADE,5,True,MADE,3dygx9gd,(27 sept) q(z|x) conditional_gaussian_made | p(x|z) conditional_made_decoder | p(z) isotropic_gaussian | D = 10 | 2021-09-27-16:20:34
q(z|x) MADE p(x|z) MLP p(z) standard,0.042639647032829776,20.32156065445912,-80.358793176651,62.79298994812784,-83.11455091645446,0.22092976732344569,0.014506594013405044,,0.2817100324208223,0.957951121692416,1.023168679279617,83.11455091645446,0.06212997285625602,standard,10,MADE,5,True,MLP,385gg37u,(27 sept) q(z|x) conditional_gaussian_made | p(x|z) basic_mlp_decoder | p(z) isotropic_gaussian | D = 10 | 2021-09-27-16:20:31
q(z|x) ind. Gauss. p(x|z) deconv. p(z) standard,0.05028023610858223,22.95932354504549,-73.41480948104858,53.9405834825733,-76.89990697933149,0.12777169859862025,-0.026402816023158877,,0.06542035781695874,1.0266171806975255,1.042720793168756,76.89990697933149,0.06302735926229742,standard,10,ind. Gauss.,5,True,deconv.,3fvuq7nm,(27 sept) q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) isotropic_gaussian | D = 10 | 2021-09-27-16:20:31
q(z|x) ind. Gauss. p(x|z) MADE p(z) standard,0.03150303212666436,26.789805182927772,-80.81599595489502,56.28725133968305,-83.0770561121687,0.08265813289186623,-0.01386512690547948,,0.02356312138653254,1.0586121882064432,1.0604566909089874,83.0770561121687,0.06416940236393409,standard,10,ind. Gauss.,5,True,MADE,30ltx5g9,(27 sept) q(z|x) independent_gaussian | p(x|z) conditional_made_decoder | p(z) isotropic_gaussian | D = 10 | 2021-09-27-16:20:31
q(z|x) ind. Gauss. p(x|z) MLP p(z) standard,0.03890308256767973,22.195474262478985,-78.38694856948852,59.0557112874864,-81.25118506709232,0.13315065007043791,-0.01939658439111059,,0.04208667972419835,1.0689432266392285,1.0908746198762822,81.25118506709232,0.06994529011883313,standard,10,ind. Gauss.,5,True,MLP,3awknjim,(27 sept) q(z|x) independent_gaussian | p(x|z) basic_mlp_decoder | p(z) isotropic_gaussian | D = 10 | 2021-09-27-16:20:31
q(z|x) MADE p(x|z) deconv. p(z) mog,0.07355779140621801,21.11019267311579,-75.69192773857117,57.71771867969368,-78.8279106043562,0.28136433604397354,-0.5044173796342898,,0.2143765399350396,1.9926199701767933,2.3429664750642414,78.8279106043562,0.259372293194638,mog,10,MADE,5,True,deconv.,e1zdkrb3,(27 sept) q(z|x) conditional_gaussian_made | p(x|z) basic_deconv_decoder | p(z) mog | D = 10 | 2021-09-27-16:20:31
q(z|x) MADE p(x|z) MLP p(z) mog,0.09561395017972477,19.71437024466599,-79.20542010536194,62.48026150087767,-82.19463145581982,0.38436976641039305,0.597276150991645,,0.1645604166426236,2.8994648788548725,3.222094062008435,82.19463145581982,0.26496564436562453,mog,10,MADE,5,True,MLP,3ri4ucox,(27 sept) q(z|x) conditional_gaussian_made | p(x|z) basic_mlp_decoder | p(z) mog | D = 10 | 2021-09-27-16:20:31
q(z|x) ind. Gauss. p(x|z) MADE p(z) mog,0.08286294091162802,25.88942431196382,-78.72289968643189,55.20150240161751,-81.0909261582773,0.20616230972205535,-1.0282965641987474,16.106764203081223,0.05675044188959689,2.7135458747042884,3.0879960935327073,81.0909261582773,0.26887315134458906,mog,10,ind. Gauss.,5,True,MADE,3upjc7yh,(27 sept) q(z|x) independent_gaussian | p(x|z) conditional_made_decoder | p(z) mog | D = 10 | 2021-09-27-16:20:31
q(z|x) ind. Gauss. p(x|z) MLP p(z) mog,0.10800020132638231,21.880802178684668,-76.96596138954163,58.50174804880649,-80.3825502033475,0.3521047294894351,-0.000888651074794463,19.55478560753204,0.09321670045581044,3.2118003066582017,3.4713677243341374,80.3825502033475,0.26971233192878435,mog,10,ind. Gauss.,5,True,MLP,158d6g6j,(27 sept) q(z|x) independent_gaussian | p(x|z) basic_mlp_decoder | p(z) mog | D = 10 | 2021-09-27-17:28:16
q(z|x) ind. Gauss. p(x|z) deconv. p(z) mog,0.05852788799925696,22.290301986887485,-70.50780671043395,51.81242660329312,-74.10272844531868,0.257676519736459,-0.255382788487853,,0.11926800427557546,2.5395977285843863,2.873970843568633,74.10272844531868,0.2735643266122552,mog,10,ind. Gauss.,5,True,deconv.,g2ysregg,(27 sept) q(z|x) independent_gaussian | p(x|z) basic_deconv_decoder | p(z) mog | D = 10 | 2021-09-27-16:20:31
q(z|x) MADE p(x|z) MADE p(z) mog,0.11517642028158225,24.16143547734128,-81.58244686775207,59.70566539522968,-83.86710145201864,0.33296077349517916,-1.056401468530486,18.92697970904718,0.2335484644657449,3.105652042582065,3.98990962475161,83.86710145201864,0.276609307602991,mog,10,MADE,5,True,MADE,1fz49ae2,(27 sept) q(z|x) conditional_gaussian_made | p(x|z) conditional_made_decoder | p(z) mog | D = 10 | 2021-09-27-16:20:31
